EC,PRESS,TEMP,DEPTH,ALT
0.04,954.70,23.82,-0.60,499.00,
0.04,956.10,23.79,-0.58,486.78,
0.00,956.40,23.80,-0.58,484.16,
0.02,955.30,23.81,-0.59,493.76,
0.08,956.80,23.79,-0.57,480.68,
0.06,955.60,23.81,-0.59,491.14,
0.04,955.70,23.81,-0.59,490.27,
0.06,955.60,23.82,-0.59,491.14,
0.04,956.00,23.82,-0.58,487.65,
0.08,955.70,23.83,-0.59,490.27,
0.02,956.80,23.81,-0.57,480.68,
0.06,956.80,23.83,-0.57,480.68,
0.06,955.80,23.84,-0.59,489.40,
0.08,956.40,23.84,-0.58,484.16,
0.08,955.30,23.85,-0.59,493.76,
0.00,955.80,23.86,-0.59,489.40,
0.02,956.30,23.86,-0.58,485.03,
0.06,956.60,23.86,-0.58,482.42,
0.06,955.90,23.87,-0.58,488.52,
0.04,955.30,23.89,-0.59,493.76,
0.06,954.70,23.90,-0.60,499.00,
0.04,954.70,23.91,-0.60,499.00,
0.04,955.30,23.91,-0.59,493.76,
0.04,955.40,23.92,-0.59,492.88,
0.00,955.00,23.93,-0.59,496.38,
0.02,954.90,23.94,-0.59,497.25,
0.02,954.50,23.95,-0.60,500.74,
0.02,954.20,23.96,-0.60,503.36,
0.06,955.60,23.95,-0.59,491.14,
0.02,955.40,23.97,-0.59,492.88,
0.00,955.40,23.97,-0.59,492.88,
0.02,955.30,23.98,-0.59,493.76,
0.00,955.30,23.98,-0.59,493.76,
0.04,954.80,23.99,-0.60,498.12,
0.11,955.00,24.00,-0.59,496.38,
0.06,955.20,24.01,-0.59,494.63,
0.06,955.00,24.01,-0.59,496.38,
0.00,955.10,24.02,-0.59,495.50,
0.00,954.90,24.03,-0.59,497.25,
0.04,954.90,24.04,-0.59,497.25,
0.04,954.70,24.05,-0.60,499.00,
0.04,954.60,24.06,-0.60,499.87,
0.06,954.70,24.06,-0.60,499.00,
0.00,954.70,24.07,-0.60,499.00,
0.02,955.20,24.08,-0.59,494.63,
0.06,955.30,24.09,-0.59,493.76,
0.02,955.10,24.11,-0.59,495.50,
0.00,954.70,24.12,-0.60,499.00,
