EC,PRESS,TEMP,DEPTH,ALT
56.31,973.70,22.94,-0.40,334.41,
56.30,973.40,22.95,-0.41,336.99,
56.32,973.50,22.95,-0.40,336.13,
56.32,973.10,22.95,-0.41,339.57,
56.31,973.30,22.95,-0.41,337.85,
56.31,973.30,22.94,-0.41,337.85,
56.29,973.40,22.94,-0.41,336.99,
56.30,973.20,22.94,-0.41,338.71,
56.29,972.90,22.94,-0.41,341.29,
56.27,973.10,22.94,-0.41,339.57,
56.27,973.50,22.94,-0.40,336.13,
56.26,973.40,22.94,-0.41,336.99,
56.29,973.50,22.94,-0.40,336.13,
56.24,973.10,22.94,-0.41,339.57,
56.27,973.50,22.94,-0.40,336.13,
56.27,973.40,22.94,-0.41,336.99,
56.28,973.30,22.94,-0.41,337.85,
56.28,973.30,22.94,-0.41,337.85,
56.28,973.70,22.94,-0.40,334.41,
56.27,973.40,22.94,-0.41,336.99,
56.26,973.30,22.94,-0.41,337.85,
56.28,973.50,22.93,-0.40,336.13,
56.24,973.60,22.94,-0.40,335.28,
56.26,974.20,22.94,-0.40,330.12,
56.25,973.40,22.94,-0.41,336.99,
56.21,973.60,22.93,-0.40,335.28,
56.24,973.40,22.93,-0.41,336.99,
56.17,973.80,22.93,-0.40,333.56,
56.16,973.60,22.93,-0.40,335.28,
56.21,973.50,22.93,-0.40,336.13,
56.18,973.80,22.93,-0.40,333.56,
56.23,973.50,22.93,-0.40,336.13,
56.20,973.30,22.93,-0.41,337.85,
56.23,973.50,22.93,-0.40,336.13,
56.20,973.20,22.93,-0.41,338.71,
56.16,973.30,22.93,-0.41,337.85,
56.16,973.80,22.93,-0.40,333.56,
56.13,973.30,22.93,-0.41,337.85,
56.16,973.40,22.93,-0.41,336.99,
56.18,973.10,22.93,-0.41,339.57,
56.15,973.50,22.93,-0.40,336.13,
56.16,973.60,22.93,-0.40,335.28,
56.13,973.10,22.92,-0.41,339.57,
56.15,973.30,22.93,-0.41,337.85,
56.16,973.20,22.93,-0.41,338.71,
56.12,973.50,22.92,-0.40,336.13,
56.12,973.40,22.92,-0.41,336.99,
56.12,973.10,22.92,-0.41,339.57,
56.12,973.20,22.93,-0.41,338.71,
56.08,973.40,22.92,-0.41,336.99,
56.10,973.50,22.92,-0.40,336.13,
56.08,973.20,22.92,-0.41,338.71,
56.08,973.30,22.92,-0.41,337.85,
56.12,973.50,22.92,-0.40,336.13,
56.09,973.80,22.92,-0.40,333.56,
56.05,973.40,22.92,-0.41,336.99,
56.07,973.20,22.92,-0.41,338.71,
56.07,973.20,22.92,-0.41,338.71,
56.06,973.10,22.92,-0.41,339.57,
56.06,973.20,22.92,-0.41,338.71,
56.08,973.40,22.92,-0.41,336.99,
56.06,973.20,22.91,-0.41,338.71,
56.05,973.30,22.91,-0.41,337.85,
56.07,973.40,22.92,-0.41,336.99,
56.05,973.40,22.92,-0.41,336.99,
56.03,973.20,22.92,-0.41,338.71,
56.05,973.30,22.91,-0.41,337.85,
56.02,973.30,22.91,-0.41,337.85,
56.03,973.60,22.92,-0.40,335.28,
56.02,973.40,22.91,-0.41,336.99,
56.05,973.60,22.92,-0.40,335.28,
56.09,973.40,22.91,-0.41,336.99,
56.07,973.50,22.91,-0.40,336.13,
56.00,973.70,22.91,-0.40,334.41,
56.07,973.00,22.91,-0.41,340.43,
56.02,973.70,22.91,-0.40,334.41,
56.04,973.30,22.91,-0.41,337.85,
56.07,973.20,22.91,-0.41,338.71,
56.02,973.20,22.91,-0.41,338.71,
56.03,973.30,22.91,-0.41,337.85,
56.02,973.30,22.91,-0.41,337.85,
56.03,973.30,22.90,-0.41,337.85,
55.99,973.10,22.91,-0.41,339.57,
55.98,973.30,22.91,-0.41,337.85,
56.02,973.00,22.90,-0.41,340.43,
55.99,973.00,22.90,-0.41,340.43,
