EC,PRESS,TEMP,DEPTH,ALT
1.68,961.30,23.61,-0.53,441.53,
1.32,961.60,23.62,-0.53,438.92,
1.34,961.70,23.65,-0.52,438.05,
1.42,961.50,23.66,-0.53,439.79,
1.38,961.70,23.67,-0.52,438.05,
1.45,961.80,23.68,-0.52,437.19,
1.49,961.40,23.69,-0.53,440.66,
1.45,961.60,23.69,-0.53,438.92,
1.47,961.90,23.69,-0.52,436.32,
1.40,961.40,23.69,-0.53,440.66,
1.40,961.60,23.69,-0.53,438.92,
1.38,961.50,23.69,-0.53,439.79,
1.49,961.10,23.69,-0.53,443.26,
1.45,960.40,23.69,-0.54,449.35,
1.53,961.00,23.68,-0.53,444.13,
1.40,960.40,23.68,-0.54,449.35,
1.40,960.90,23.67,-0.53,445.00,
1.40,961.30,23.65,-0.53,441.53,
1.47,960.90,23.66,-0.53,445.00,
1.42,961.10,23.65,-0.53,443.26,
1.47,960.90,23.65,-0.53,445.00,
1.45,961.30,23.64,-0.53,441.53,
1.42,961.90,23.62,-0.52,436.32,
1.23,961.00,23.62,-0.53,444.13,
1.32,961.50,23.62,-0.53,439.79,
1.38,961.00,23.61,-0.53,444.13,
1.13,961.40,23.60,-0.53,440.66,
1.23,960.50,23.61,-0.54,448.47,
1.04,960.90,23.60,-0.53,445.00,
0.96,961.40,23.60,-0.53,440.66,
0.90,960.70,23.61,-0.53,446.74,
0.96,960.90,23.61,-0.53,445.00,
0.96,961.20,23.61,-0.53,442.40,
0.89,960.90,23.61,-0.53,445.00,
1.15,961.60,23.61,-0.53,438.92,
1.02,961.10,23.63,-0.53,443.26,
1.04,960.70,23.64,-0.53,446.74,
0.98,961.00,23.65,-0.53,444.13,
1.00,960.50,23.66,-0.54,448.47,
1.08,961.00,23.65,-0.53,444.13,
1.06,961.20,23.66,-0.53,442.40,
0.98,961.10,23.66,-0.53,443.26,
1.15,961.10,23.65,-0.53,443.26,
1.31,961.20,23.65,-0.53,442.40,
1.36,960.70,23.64,-0.53,446.74,
1.42,961.20,23.64,-0.53,442.40,
1.40,960.90,23.63,-0.53,445.00,
1.23,961.10,23.62,-0.53,443.26,
1.19,961.00,23.61,-0.53,444.13,
1.17,961.30,23.60,-0.53,441.53,
1.02,961.30,23.59,-0.53,441.53,
0.89,961.40,23.59,-0.53,440.66,
0.89,961.00,23.58,-0.53,444.13,
0.87,960.90,23.57,-0.53,445.00,
0.81,960.90,23.56,-0.53,445.00,
0.79,961.30,23.56,-0.53,441.53,
0.79,961.10,23.56,-0.53,443.26,
0.80,961.00,23.55,-0.53,444.13,
0.79,961.30,23.56,-0.53,441.53,
0.74,961.00,23.55,-0.53,444.13,
0.72,961.10,23.55,-0.53,443.26,
0.68,961.10,23.55,-0.53,443.26,
0.68,961.10,23.55,-0.53,443.26,
0.72,961.10,23.54,-0.53,443.26,
0.68,960.80,23.55,-0.53,445.87,
0.66,961.40,23.54,-0.53,440.66,
0.66,960.90,23.54,-0.53,445.00,
0.68,961.50,23.53,-0.53,439.79,
0.68,961.00,23.53,-0.53,444.13,
0.68,961.20,23.53,-0.53,442.40,
0.60,961.20,23.52,-0.53,442.40,
0.66,961.00,23.52,-0.53,444.13,
0.64,961.30,23.51,-0.53,441.53,
0.66,961.30,23.51,-0.53,441.53,
0.66,961.10,23.50,-0.53,443.26,
0.64,961.30,23.50,-0.53,441.53,
0.59,961.20,23.49,-0.53,442.40,
0.62,961.40,23.49,-0.53,440.66,
0.57,961.20,23.48,-0.53,442.40,
0.59,960.90,23.48,-0.53,445.00,
0.57,961.20,23.47,-0.53,442.40,
0.59,961.20,23.47,-0.53,442.40,
0.59,961.30,23.47,-0.53,441.53,
0.50,961.30,23.47,-0.53,441.53,
0.55,960.60,23.46,-0.54,447.61,
