EC,PRESS,TEMP,DEPTH,ALT
2.55,955.30,26.50,-0.59,493.76,
2.51,954.80,26.50,-0.60,498.12,
2.58,954.90,26.50,-0.59,497.25,
2.55,954.90,26.49,-0.59,497.25,
2.58,954.80,26.49,-0.60,498.12,
2.55,955.10,26.49,-0.59,495.50,
2.58,954.60,26.48,-0.60,499.87,
2.51,955.20,26.48,-0.59,494.63,
2.60,955.00,26.48,-0.59,496.38,
2.55,955.00,26.48,-0.59,496.38,
2.58,955.20,26.48,-0.59,494.63,
2.53,954.90,26.48,-0.59,497.25,
2.49,954.80,26.48,-0.60,498.12,
2.51,955.20,26.48,-0.59,494.63,
2.38,954.80,26.49,-0.60,498.12,
2.55,954.80,26.49,-0.60,498.12,
2.58,954.80,26.49,-0.60,498.12,
2.51,955.10,26.50,-0.59,495.50,
2.58,954.90,26.51,-0.59,497.25,
2.11,954.80,26.51,-0.60,498.12,
1.42,954.70,26.51,-0.60,499.00,
1.81,954.80,26.50,-0.60,498.12,
1.17,954.70,26.51,-0.60,499.00,
1.06,954.80,26.50,-0.60,498.12,
1.83,955.10,26.50,-0.59,495.50,
2.08,954.90,26.49,-0.59,497.25,
1.92,954.50,26.49,-0.60,500.74,
2.43,955.10,26.47,-0.59,495.50,
2.36,954.80,26.47,-0.60,498.12,
2.40,954.70,26.46,-0.60,499.00,
2.45,954.70,26.45,-0.60,499.00,
2.47,954.70,26.45,-0.60,499.00,
2.51,954.80,26.45,-0.60,498.12,
2.38,954.50,26.45,-0.60,500.74,
2.40,954.90,26.44,-0.59,497.25,
2.23,954.80,26.45,-0.60,498.12,
1.72,955.10,26.45,-0.59,495.50,
1.72,955.00,26.46,-0.59,496.38,
1.42,955.00,26.47,-0.59,496.38,
1.31,955.00,26.47,-0.59,496.38,
1.51,955.10,26.47,-0.59,495.50,
1.66,954.80,26.47,-0.60,498.12,
1.79,954.80,26.46,-0.60,498.12,
2.23,954.30,26.46,-0.60,502.49,
2.34,954.70,26.45,-0.60,499.00,
2.36,955.00,26.44,-0.59,496.38,
2.34,954.70,26.43,-0.60,499.00,
2.43,954.80,26.42,-0.60,498.12,
2.49,955.10,26.41,-0.59,495.50,
2.53,955.10,26.41,-0.59,495.50,
2.51,954.70,26.40,-0.60,499.00,
2.49,954.80,26.39,-0.60,498.12,
2.52,954.50,26.39,-0.60,500.74,
2.47,954.50,26.38,-0.60,500.74,
2.47,954.80,26.38,-0.60,498.12,
2.51,954.50,26.37,-0.60,500.74,
2.55,954.70,26.37,-0.60,499.00,
2.72,954.10,26.37,-0.60,504.24,
2.55,954.90,26.36,-0.59,497.25,
2.49,954.80,26.35,-0.60,498.12,
2.45,955.00,26.35,-0.59,496.38,
1.68,954.80,26.35,-0.60,498.12,
1.36,955.00,26.34,-0.59,496.38,
1.57,955.10,26.34,-0.59,495.50,
1.55,954.50,26.34,-0.60,500.74,
1.41,954.70,26.34,-0.60,499.00,
1.61,954.70,26.33,-0.60,499.00,
1.70,954.70,26.33,-0.60,499.00,
1.42,954.80,26.33,-0.60,498.12,
1.53,954.80,26.33,-0.60,498.12,
1.70,954.70,26.33,-0.60,499.00,
1.49,954.80,26.33,-0.60,498.12,
1.59,954.80,26.33,-0.60,498.12,
1.32,955.20,26.32,-0.59,494.63,
1.55,954.70,26.32,-0.60,499.00,
1.93,954.90,26.32,-0.59,497.25,
2.28,954.70,26.32,-0.60,499.00,
2.47,954.80,26.31,-0.60,498.12,
2.52,954.70,26.29,-0.60,499.00,
2.55,954.90,26.30,-0.59,497.25,
2.53,954.40,26.30,-0.60,501.62,
2.55,954.30,26.30,-0.60,502.49,
2.53,954.90,26.30,-0.59,497.25,
2.55,955.00,26.30,-0.59,496.38,
2.55,954.70,26.30,-0.60,499.00,
2.55,954.50,26.29,-0.60,500.74,
2.53,954.30,26.29,-0.60,502.49,
2.53,954.40,26.29,-0.60,501.62,
2.53,954.30,26.28,-0.60,502.49,
2.55,954.60,26.28,-0.60,499.87,
1.93,954.80,26.28,-0.60,498.12,
1.61,954.50,26.26,-0.60,500.74,
1.68,954.40,26.27,-0.60,501.62,
1.59,954.60,26.27,-0.60,499.87,
1.85,954.50,26.26,-0.60,500.74,
1.76,954.60,26.26,-0.60,499.87,
1.72,954.50,26.25,-0.60,500.74,
1.74,954.90,26.25,-0.59,497.25,
1.61,954.30,26.25,-0.60,502.49,
1.57,954.80,26.24,-0.60,498.12,
1.66,954.90,26.24,-0.59,497.25,
1.61,954.90,26.24,-0.59,497.25,
1.68,954.70,26.24,-0.60,499.00,
1.53,954.50,26.23,-0.60,500.74,
1.71,954.70,26.23,-0.60,499.00,
1.53,954.30,26.22,-0.60,502.49,
1.57,954.60,26.22,-0.60,499.87,
1.68,954.20,26.22,-0.60,503.36,
1.59,954.70,26.22,-0.60,499.00,
1.61,954.60,26.22,-0.60,499.87,
1.66,954.80,26.22,-0.60,498.12,
1.53,954.30,26.21,-0.60,502.49,
1.61,953.80,26.21,-0.61,506.86,
1.59,954.20,26.21,-0.60,503.36,
1.49,954.00,26.21,-0.60,505.11,
1.53,954.60,26.21,-0.60,499.87,
1.44,954.50,26.20,-0.60,500.74,
1.41,954.70,26.19,-0.60,499.00,
1.42,954.70,26.19,-0.60,499.00,
1.42,954.40,26.19,-0.60,501.62,
1.44,954.50,26.19,-0.60,500.74,
1.46,954.70,26.18,-0.60,499.00,
1.44,954.70,26.18,-0.60,499.00,
1.36,954.40,26.18,-0.60,501.62,
1.44,954.70,26.17,-0.60,499.00,
1.27,954.90,26.17,-0.59,497.25,
1.38,954.60,26.16,-0.60,499.87,
1.25,954.00,26.16,-0.60,505.11,
1.27,954.00,26.15,-0.60,505.11,
1.25,954.60,26.15,-0.60,499.87,
1.41,954.30,26.14,-0.60,502.49,
1.46,954.20,26.14,-0.60,503.36,
1.25,954.20,26.13,-0.60,503.36,
1.34,954.40,26.12,-0.60,501.62,
1.34,954.10,26.12,-0.60,504.24,
1.29,954.40,26.12,-0.60,501.62,
1.38,954.60,26.11,-0.60,499.87,
1.44,954.40,26.11,-0.60,501.62,
1.32,954.00,26.10,-0.60,505.11,
1.34,954.20,26.09,-0.60,503.36,
1.36,954.10,26.09,-0.60,504.24,
1.34,954.10,26.08,-0.60,504.24,
1.32,954.40,26.07,-0.60,501.62,
1.21,954.40,26.06,-0.60,501.62,
1.27,954.40,26.05,-0.60,501.62,
1.34,954.80,26.05,-0.60,498.12,
1.34,954.30,26.05,-0.60,502.49,
1.38,954.40,26.04,-0.60,501.62,
1.34,953.80,26.03,-0.61,506.86,
1.25,954.40,26.03,-0.60,501.62,
1.19,954.60,26.02,-0.60,499.87,
1.25,954.20,26.02,-0.60,503.36,
1.23,954.40,26.01,-0.60,501.62,
1.23,954.20,26.00,-0.60,503.36,
1.27,954.40,26.00,-0.60,501.62,
1.27,954.50,25.99,-0.60,500.74,
1.21,954.50,25.97,-0.60,500.74,
1.23,954.10,25.97,-0.60,504.24,
1.23,954.00,25.97,-0.60,505.11,
1.21,954.10,25.96,-0.60,504.24,
1.19,954.20,25.95,-0.60,503.36,
1.19,954.50,25.95,-0.60,500.74,
1.17,954.30,25.94,-0.60,502.49,
1.19,953.80,25.93,-0.61,506.86,
1.21,954.10,25.93,-0.60,504.24,
1.21,954.00,25.92,-0.60,505.11,
1.19,954.20,25.92,-0.60,503.36,
1.19,954.10,25.92,-0.60,504.24,
1.15,954.00,25.92,-0.60,505.11,
1.11,954.10,25.91,-0.60,504.24,
1.08,954.10,25.91,-0.60,504.24,
1.10,954.30,25.91,-0.60,502.49,
1.12,954.10,25.91,-0.60,504.24,
1.15,954.70,25.91,-0.60,499.00,
1.10,954.10,25.90,-0.60,504.24,
1.08,954.00,25.90,-0.60,505.11,
1.12,954.30,25.90,-0.60,502.49,
1.12,954.20,25.90,-0.60,503.36,
1.02,954.50,25.90,-0.60,500.74,
1.08,954.20,25.90,-0.60,503.36,
1.12,954.50,25.89,-0.60,500.74,
1.08,954.10,25.89,-0.60,504.24,
1.01,954.10,25.89,-0.60,504.24,
1.08,954.50,25.88,-0.60,500.74,
1.15,954.40,25.88,-0.60,501.62,
1.08,954.50,25.88,-0.60,500.74,
0.95,954.20,25.88,-0.60,503.36,
0.98,954.20,25.88,-0.60,503.36,
1.02,954.10,25.87,-0.60,504.24,
1.04,954.30,25.87,-0.60,502.49,
1.06,954.30,25.87,-0.60,502.49,
1.06,954.10,25.87,-0.60,504.24,
1.10,954.50,25.87,-0.60,500.74,
1.10,954.00,25.86,-0.60,505.11,
1.08,954.20,25.86,-0.60,503.36,
1.01,953.80,25.86,-0.61,506.86,
1.06,954.60,25.86,-0.60,499.87,
0.91,954.10,25.86,-0.60,504.24,
1.06,954.20,25.85,-0.60,503.36,
1.04,954.40,25.85,-0.60,501.62,
1.00,954.00,25.85,-0.60,505.11,
1.04,954.10,25.85,-0.60,504.24,
0.98,954.10,25.84,-0.60,504.24,
0.98,954.00,25.84,-0.60,505.11,
1.04,954.20,25.83,-0.60,503.36,
0.98,953.90,25.83,-0.60,505.98,
